trade_idx,equity
0,1.013778793774346
1,0.9986682405170554
2,0.9794257587014527
3,1.014944335833062
4,0.9873474037298979
5,0.9637773737735377
6,0.9520626726756356
7,0.9620699372447097
8,0.9835345985057087
9,0.9751175250699723
10,0.9682395147015984
11,0.9619943677547386
12,0.9689471524866423
13,0.988048363673844
14,1.001460298845152
15,0.9847869715534999
16,0.9703515065283398
17,0.9596478495505039
18,0.9480071365529955
19,0.9666172648604534
20,0.9547488986763183
21,0.9675487050816658
22,0.9604173457225077
23,0.967690647556634
24,0.9798018384236465
25,0.9677301057111964
26,0.9592217076818467
27,0.9391294857740282
28,0.9306263253004426
29,0.9453773165835936
30,0.9704190542313513
31,0.9445805386066348
32,0.9637558985941082
33,0.944487012627719
34,0.9333219293156934
35,0.9431609717287082
36,0.9341101806521593
37,0.9269227447348021
38,0.917021277445214
39,0.9251436206238458
40,0.9160257170844703
41,0.9238324019597344
42,0.9307322141012784
43,0.9406823693086149
44,0.9510056557950726
45,0.9325626944496336
46,0.9091171309632798
47,0.8890232907663133
48,0.8755659057288604
49,0.8888234851794744
50,0.8935805371111162
51,0.8868015575422171
52,0.8960457664337774
53,0.9092190081846755
54,0.9229390083153601
55,0.9145647543603567
56,0.9064354332692899
57,0.8963709989975905
58,0.8872384627142632
59,0.8975104606417186
60,0.9056686741810634
61,0.9001763567065211
62,0.9073638663288665
63,0.8969880196982777
64,0.8830266870959397
65,0.8696621858844606
66,0.8836977655963645
67,0.8969030021252045
68,0.8874879020925035
69,0.905357187137833
70,0.9237158820069786
71,0.9153316719066108
72,0.9014449605854254
73,0.9127027809045524
74,0.925152889899609
75,0.9193328241130977
76,0.9141104142980351
77,0.9193902967820877
78,0.9125536688628191
79,0.905447105588558
80,0.9235210230649281
81,0.935173759457335
82,0.949221312816266
83,0.9424352697101248
84,0.9525086438855691
85,0.9782860496447162
86,0.9682532035876531
87,0.9634951674119396
88,0.9721645465957516
89,0.9804684133289014
90,0.9712722665487072
91,0.9652595738253774
92,0.956064918858994
93,0.9470450669643942
94,0.9363066893521669
95,0.9538295611815472
96,0.9419190716616284
97,0.9541944746124934
98,0.9382937881630408
99,0.9249144457391962
100,0.9111809099560965
101,0.9264387662397896
102,0.9148001781498027
103,0.9045409722744605
104,0.8940882718372654
105,0.882816532187333
106,0.8925918202403181
107,0.9019633378919922
108,0.8927659294571354
