trade_idx,equity
0,1.0942829863971257
1,0.8424409741717854
2,0.7857242781334329
3,0.8984572955082227
4,0.8165522972667265
5,0.7318138177306697
6,0.7873709651080568
7,0.9068727826858161
8,0.8622135954226572
9,0.7907663749331343
10,0.7476025543382535
11,0.7966142773937317
12,0.854961056789534
13,0.9793158175125376
14,0.9082604540033455
15,0.8321545587855861
16,0.7901764704228148
17,0.5992605146923663
18,0.6551074643224819
19,0.5935665167740932
20,0.6583777548584411
21,0.7351449989524017
22,0.7932405107934424
23,0.8516494146318172
24,0.7835605357796704
25,0.7217675271466277
26,0.6767807546032611
27,0.7548074087476793
28,0.8070520189446487
29,0.9174985585629064
30,0.9550643652220412
31,0.9102334418832958
32,0.9739679281200173
33,0.9321072014529839
34,0.9029108551884816
35,0.9506490120656884
36,0.9991840246048507
37,1.0363546906146734
38,1.0841014988037696
39,1.0430121592261712
40,0.9649466753804707
41,0.9197351637504652
42,0.8815189872960605
43,0.845704838167108
44,0.9033471596745821
45,0.8658505397814376
46,0.8324223759380743
47,0.7973195583309638
48,0.7657858564944386
49,0.732908053491693
50,0.7810460908310658
51,0.7366398496645983
52,0.7983326717662477
53,0.8554731432198313
