trade_idx,equity
0,0.8724537948100302
1,0.635627871854261
2,0.5206860429955981
3,0.656436358765981
4,0.5616943956957107
5,0.702716061691472
6,0.6277079216121847
7,0.548380301811099
8,0.4722534533295268
9,0.41022794116884803
10,0.4958317174257217
11,0.5808973826575209
12,0.6778332151954576
13,0.6153846071087766
14,0.5566062675740276
15,0.6626308812329508
16,0.595665556193453
17,0.6985208426682032
18,0.801510190380481
19,0.7334563840246268
20,0.8746370903017401
21,1.060999326472958
22,0.9505091660573447
23,1.1594485220736572
24,1.003335439646301
25,0.9161451461872137
26,1.0566628135370688
27,1.2000182199916578
28,1.3668303841566247
29,1.2347333254727424
30,1.4399406185010897
31,1.6950605180696048
32,1.550314658620574
33,1.3880186983125598
34,1.242039020928229
35,1.4103265566900454
36,1.6027649503917403
37,1.4778050386677517
38,1.3295527644565701
39,1.5526536082379245
40,1.315831104405514
41,1.1789373480409964
42,1.3215404735291307
43,1.2272673727675245
44,1.1235375616825969
45,1.2760615947367806
46,1.4880196411294324
47,1.8211302959022666
48,2.313887662589551
49,1.9059826247294476
50,2.2257133284071893
51,2.0923783923665997
52,2.59265979341108
53,1.9218082054627919
54,1.7366556373607107
55,1.9673725585584463
56,1.7874482474362339
57,1.6661712792642833
58,1.8539735560850001
59,2.06364043254778
60,2.313471282037366
61,2.171554077293673
62,2.0716521787684306
63,2.25965048318126
64,2.1348814194706422
65,2.358669168365551
66,2.6605732652316543
67,2.43828232513841
68,2.7559911765674276
69,3.1718766653472796
70,3.5957750725154782
71,3.3353094990059655
72,3.690422534682983
73,4.069995200135639
74,4.64244512194432
75,5.262742955308821
76,5.89287192650263
77,5.455775297612015
78,6.137205172626257
79,5.724381788940412
80,6.348325004914817
81,5.977368342215228
82,5.457667201427409
83,6.152090215321839
84,6.753056210928929
85,6.398427082103592
86,6.1074596720616
87,5.805091247131064
88,6.361793778231707
89,6.927671719847577
90,6.523124007948418
91,6.1109029619319895
92,7.0820684689222
93,6.337440979714348
94,5.525072690276209
95,6.377659349945931
96,6.922501372039647
97,6.5714621278974885
98,6.1824111590106225
99,5.812637738118721
100,5.447512833316015
101,5.100567528711714
102,5.547678917960874
103,5.287329134716637
104,4.939432057469124
