trade_idx,equity
0,1.0178180296979764
1,1.0038753456627112
2,0.9869758952959111
3,1.0180457023997582
4,0.9955801144088828
5,0.973063956180701
6,0.9590273695499373
7,0.9726665333696424
8,0.9911646021457118
9,0.9822679522611254
10,0.9744124107974075
11,0.9685385306971394
12,0.9764201668279089
13,0.9924489910401129
14,1.0070692804458226
15,0.9905377599459139
16,0.9745993571773236
17,0.9623590276112531
18,0.9507688731851097
19,0.9684784187670673
20,0.9564811080940868
21,0.9707660139798586
22,0.9638662908465577
23,0.972484681557327
24,0.9843147121359958
25,0.9728253938737662
26,0.9634644350130012
27,0.9474776126093791
28,0.9374245014615861
29,0.9523079958709426
30,0.9794901327829979
31,0.954712703783167
32,0.976721067433185
33,0.9589448493508567
34,0.9469894327577337
35,0.9604776648874929
36,0.9753616678554955
37,0.9678437408026832
38,0.958258043388312
39,0.9685630181812179
40,0.9600691626000306
41,0.9707596006377772
42,0.9639657043659506
43,0.9751731884069633
44,0.9885378822964311
45,0.9719511788932044
46,0.9491255401308658
47,0.9285714689152882
48,0.9139004955917793
49,0.9291662543929451
50,0.9358647526590078
51,0.9291452121763336
52,0.9394662029926968
53,0.9529010798460408
54,0.9668356139416104
55,0.958245446699782
56,0.9504474059537307
57,0.9405082012714305
58,0.9312747387288026
59,0.9432121193401967
60,0.9536767246396907
61,0.9477295106227281
62,0.9415862627366866
63,0.9322073378733046
64,0.9180724217061718
65,0.9359052221060483
66,0.9222257331463274
67,0.9099845891872078
68,0.9257250351308611
69,0.9163008211039636
70,0.9365615377002302
71,0.9550653508893342
72,0.9469151859800082
73,0.9338740085399074
74,0.9452321919755797
75,0.9352080651758802
76,0.9291401712501712
77,0.9239182373987118
78,0.9307198703633257
79,0.9245500281785763
80,0.9179325829847461
81,0.9368026396382071
82,0.9480270878700806
83,0.9620232413669222
84,0.9548691535879378
85,0.9658358015759101
86,0.9898464497610711
87,0.979847563486031
88,0.974362780550663
89,0.9847527804450081
90,0.9951827871632756
91,0.9862572485704331
92,0.9802299549227291
93,0.9725333517317883
94,0.9634005064432484
95,0.9533328630835431
96,0.9704198762359417
97,0.9587808989899645
98,0.973375292545677
99,0.9594655772276566
100,0.9456995299230497
101,0.9325119687291876
102,0.9489711543556851
103,0.9387975526854133
104,0.9291817307404818
105,0.9187468304262468
106,0.9087420693869698
107,0.9205761867413762
108,0.9310529919050847
109,0.9217592171082486
