trade_idx,equity
0,0.9908103139068308
1,0.9814687046039385
2,1.1767414098374989
3,0.806797209926658
4,1.0990938161948693
5,1.3226213187877667
6,0.8912463290604745
7,0.7325138651465575
8,0.821242280322814
9,0.7174239200756596
10,0.7883424297884944
11,0.8713210461891273
12,0.8177868025820816
13,0.9244654150032293
14,0.849046131321633
15,0.7798841510086725
16,0.8345646869469523
17,0.9074535506323737
18,0.99733409161301
19,1.0929063816134101
20,1.0407377707593195
21,1.2234346234481839
22,1.3299881648864276
23,1.4481716572318617
24,1.5731005791774637
25,1.3968680942415779
26,1.3275707463178161
27,1.2546621962439362
28,1.1444005078758335
29,1.072082384908388
30,1.2302496367400848
31,1.325686475213315
32,1.2436230042328078
33,1.3310295008690003
