trade_idx,equity
0,0.8156892367740032
1,0.634327567951508
2,0.7906377101223139
3,0.5928199609349061
4,0.5220227301305506
5,0.46630185480011616
6,0.3198092002146785
7,0.26135242636789013
8,0.20638668377162397
9,0.23599922843760443
10,0.274650962746569
11,0.3024447871981083
12,0.2761911642988777
13,0.25108899107565197
14,0.27949011622106434
15,0.31853281150932866
16,0.29940572502242574
17,0.359031623198581
18,0.4019622003190478
19,0.4462053225620226
20,0.4086459588387302
21,0.3715672908891484
22,0.34635674027570545
23,0.38114295364395406
24,0.4162352702129868
25,0.3970864522478972
26,0.3489048609090546
27,0.3838001645214583
28,0.4197961798031617
29,0.45764369100872726
30,0.41085896834381247
31,0.3888564670202947
32,0.36700937239243175
33,0.3929782151181093
34,0.3590077818047603
35,0.337802186093549
36,0.3164551796088579
37,0.36807812274594826
38,0.3439908990974607
39,0.32219373657006833
40,0.3456975444208728
