trade_idx,equity
0,1.0239086907299169
1,1.0038892988597317
2,1.0337229792890161
3,1.02100171977471
4,1.0384975508692138
5,1.0194237221313622
6,1.0045084043307542
7,0.9885585963476659
8,0.9616952195077707
9,0.9479221021420887
10,0.9295154226133884
11,0.9036728684229275
12,0.9306280644943021
13,0.9098156512568305
14,0.9640450021697959
15,0.9928704724395705
16,0.9721034095603761
17,0.9562301205033651
18,0.9824786145125992
19,0.9657088080880587
20,0.9218765909643306
21,0.9058274006092271
22,0.8876474387530455
23,0.8675341350231853
24,0.8864117996705257
25,0.8718199208859108
26,0.8582135309444261
27,0.8463724350969611
28,0.8342235030198103
29,0.8582943505173326
30,0.8842594256539889
31,0.8643500706858375
32,0.8813659978868099
33,0.8671882239569636
34,0.8518531712726322
35,0.8309288609972996
36,0.814311544440006
37,0.7990719399212026
38,0.7883582007123384
39,0.7777609750396605
40,0.7661448459135858
41,0.7854308648967366
42,0.8047592736554556
43,0.79056498745394
