trade_idx,equity
0,0.9834837092041684
1,0.9643183843129103
2,0.9911743604999333
3,0.9794222830427312
4,0.9936991930479577
5,0.9755670806163793
6,0.9612298882666546
7,0.9446300499488495
8,0.9163650657415918
9,0.9024270992335123
10,0.8829524577962032
11,0.8616492220057466
12,0.8848995225289832
13,0.8653037190958501
14,0.9198457829790658
15,0.946125333174185
16,0.9250027582590149
17,0.9107507614463832
18,0.9341156763925502
19,0.91848446083932
20,0.8778161189830598
21,0.8618721485479821
22,0.8433510149601571
23,0.8222908543646766
24,0.8355235231963682
25,0.8218236883836975
26,0.8083340811253301
27,0.7983953982726979
28,0.7867547286395852
29,0.8075383492216144
30,0.8325877067808946
31,0.8126144471285045
32,0.826323142265481
33,0.8126597889665301
34,0.7972637571943638
35,0.7752961395200147
36,0.7608335337818114
37,0.7472600308443799
38,0.7366575735242137
39,0.7260574898052488
40,0.7141267115983371
41,0.7298840352338177
42,0.7484573850206744
43,0.7358079460294616
