trade_idx,equity
0,1.0137646246665766
1,1.0642075233472683
2,1.1012911504066891
3,1.078994696436479
4,1.1141588095244177
5,1.0964977696154865
6,1.0834763812406976
7,1.0992821861487374
8,1.0745737460462004
9,1.0598416009546392
10,1.032116106041009
11,1.0065887717966162
12,0.983423104689637
13,1.0167410390181448
14,1.0303217705377898
15,1.0479875539939896
16,1.0384054675143668
17,1.050121746126596
18,1.0663454115290698
19,1.044745023309567
20,1.0184345645238377
21,1.0723592173437457
22,1.0995698639187832
23,1.1305926428120632
24,1.1088121963049031
25,1.0931878252122162
26,1.0749165376070524
27,1.0896466139862167
28,1.1086707988753701
29,1.0943635431972636
30,1.0797211539361888
31,1.0694331921469287
32,1.0551890536828132
33,1.0439032877458723
34,1.0295349508668357
35,1.0161590063830854
36,0.9892921264682658
37,0.967160704155314
38,0.9571852544148085
39,0.9325528512837421
40,0.950746458973143
41,0.9310626195386308
42,0.9188423604294381
43,0.9337348826211381
44,0.9246703833163017
45,0.9141790007156261
46,0.9013092801441517
47,0.912602423178179
48,0.9223075876079468
49,0.9113895748663412
50,0.8937374223060193
51,0.9101246550369003
52,0.9247595559182697
53,0.9344644517488844
54,0.9605974132076959
55,0.9462929809821783
56,0.9336305672410208
57,0.9512933553927658
58,0.9688114781284385
59,0.9589874978324237
60,0.9472353825513783
61,0.9379221585652131
62,0.9476498415941007
63,0.9640402721289484
64,0.979045443641411
65,0.9698003850292504
66,0.9768649907295126
67,0.9859505008990999
68,0.9993771052095493
69,0.9878643665688941
70,1.003208678280852
71,0.9945314459219804
72,1.0177129671410186
73,1.0066409863212984
74,1.0180776314738753
75,1.03004824871787
76,1.04394352739362
77,1.0559221481949583
78,1.0655830740691412
79,1.054004048881071
80,1.046454369047486
81,1.0357195772759427
82,1.027291379797437
83,1.045210218474715
84,1.0603984929337662
85,1.083205563700505
86,1.0737202100446825
87,1.0930817941731346
88,1.1064166700882496
89,1.0894649888055783
90,1.1059981408777173
