trades,winrate,avg_return_pct_net,profit_factor,expectancy_pct,max_drawdown_pct,total_return_pct,sharpe_trades,sortino_trades,exposure_pct,max_win_streak,max_loss_streak,symbol,timeframe,strategy,kind
95,45.26315789473684,-0.06734977559567541,0.7917648337852686,-0.06734977559567541,-10.26868503708991,-6.380459265944117,-1.030442126336707,-2.9034171161710285,9.180000000000001,4,7,ETHUSDT,15m,MA Cross 10/50,ma_cross_v1
82,47.5609756097561,-0.056500449179182975,0.8175245572420206,-0.056500449179182975,-7.209634106772256,-4.672747343535411,-0.8429973349874306,-2.4982646646150357,7.32,4,6,ETHUSDT,15m,MA Cross 20/50,ma_cross_v1
121,30.57851239669421,-0.20551168313836835,0.6026700097853523,-0.20551168313836835,-24.46586844256936,-22.366180273598314,-2.6984460363364016,-17.436743648463665,10.8,3,10,ETHUSDT,15m,Donchian Breakout 20,donchian_breakout_v1
202,36.633663366336634,-0.14391543670287227,0.4896575158680191,-0.14391543670287227,-25.370543190654338,-25.381842283483635,-4.7585741670427835,-16.304609550947585,9.959999999999999,3,6,ETHUSDT,15m,BB Mean Reversion 20,bb_mean_reversion_v1
132,37.878787878787875,-0.20005710248141428,0.7283076220413389,-0.20005710248141428,-25.19840064345855,-24.167724831933512,-1.682792195564713,-4.944240286783257,10.96,4,10,ETHUSDT,1h,MA Cross 10/50,ma_cross_v1
109,43.11926605504588,-0.09391810766814757,0.8660575959853732,-0.09391810766814757,-14.314297328370673,-10.72340705428646,-0.689584443555849,-1.875955043132841,7.46,4,5,ETHUSDT,1h,MA Cross 20/50,ma_cross_v1
286,39.51048951048951,-0.053250098436713356,0.9313036257355524,-0.053250098436713356,-38.61414826188875,-17.321013576818,-0.552437985249883,-1.725284165038689,22.900000000000002,6,9,ETHUSDT,1h,Donchian Breakout 20,donchian_breakout_v1
123,41.46341463414634,-0.07250005852274645,0.8548627566642969,-0.07250005852274645,-16.239484978994223,-9.080439677000008,-0.8139567715687219,-3.845434300048185,7.5,5,8,ETHUSDT,1h,BB Mean Reversion 20,bb_mean_reversion_v1
124,45.96774193548387,0.060291439009756885,1.0591196607537454,0.060291439009756885,-29.897706448884275,4.512529398339349,0.3017984893598535,0.962135757944705,9.3,5,6,ETHUSDT,4h,MA Cross 10/50,ma_cross_v1
92,47.82608695652174,0.19623663069928576,1.1997362303523018,0.19623663069928576,-16.8063987945681,16.8952781198634,0.8175613522808703,2.692978218781797,8.14,5,5,ETHUSDT,4h,MA Cross 20/50,ma_cross_v1
286,39.16083916083916,0.015139687407554456,1.012649220634111,0.015139687407554456,-36.880150867455065,-5.480679481527306,0.09656715274891912,0.32298763585115026,23.86,5,6,ETHUSDT,4h,Donchian Breakout 20,donchian_breakout_v1
65,46.15384615384615,0.12208947254812902,1.1825727551317928,0.12208947254812902,-10.379483499393649,7.364497508940349,0.6161694436532523,1.930301534452298,3.5999999999999996,4,9,ETHUSDT,4h,BB Mean Reversion 20,bb_mean_reversion_v1
53,45.28301886792453,-0.34578034643527,0.9123075514372586,-0.34578034643527,-52.57018197734546,-33.384958603803014,-0.28204856172030446,-0.4591717769653268,9.136690647482014,4,5,ETHUSDT,1d,MA Cross 10/50,ma_cross_v1
43,41.86046511627907,-0.19897143089118158,0.9499892159797836,-0.19897143089118158,-39.83273005982873,-22.994279358248903,-0.14488654785463986,-0.2973701277243543,8.920863309352518,3,4,ETHUSDT,1d,MA Cross 20/50,ma_cross_v1
165,46.666666666666664,1.1401555180178626,1.3217150936336806,1.1401555180178626,-59.17626266556114,238.0555724184886,1.628820138604178,4.554768455583451,22.913669064748202,6,8,ETHUSDT,1d,Donchian Breakout 20,donchian_breakout_v1
5,40.0,-1.3359566242620242,0.5675572617512649,-1.3359566242620242,-4.218950304794944,-7.084217671871562,-0.6058547926740558,-1.5155396451633683,0.2158273381294964,2,2,ETHUSDT,1d,BB Mean Reversion 20,bb_mean_reversion_v1
133,44.3609022556391,-0.06841799352850308,0.7987934931559092,-0.06841799352850308,-15.317141244824683,-8.958812153473538,-1.209169118077969,-4.204398011396351,11.04,5,8,SOLUSDT,15m,MA Cross 10/50,ma_cross_v1
75,37.333333333333336,-0.16357226865354293,0.597254061783148,-0.16357226865354293,-12.130117911209371,-11.701444052790466,-2.126053001067135,-6.813602456385176,5.84,4,6,SOLUSDT,15m,MA Cross 20/50,ma_cross_v1
157,31.84713375796178,-0.2003159967512013,0.6304102745718625,-0.2003159967512013,-28.762343478215936,-27.457495673653277,-2.826728424438017,-16.198726407426147,11.24,2,8,SOLUSDT,15m,Donchian Breakout 20,donchian_breakout_v1
172,41.86046511627907,-0.1052480051027115,0.6237824605062743,-0.1052480051027115,-17.37406575275817,-16.724595434947886,-2.9418840119901617,-10.205269232539866,8.16,5,7,SOLUSDT,15m,BB Mean Reversion 20,bb_mean_reversion_v1
120,42.5,-0.17618385044097887,0.81646094525101,-0.17618385044097887,-31.425990791841897,-20.943307265453992,-0.9769511063558753,-2.3047591352206065,10.92,4,9,SOLUSDT,1h,MA Cross 10/50,ma_cross_v1
91,48.35164835164835,0.12750372308471403,1.1667499392714011,0.12750372308471403,-20.949651672677305,10.59981408777173,0.6628612807586385,2.2234919937436923,8.64,5,11,SOLUSDT,1h,MA Cross 20/50,ma_cross_v1
314,34.71337579617834,-0.15781362370107557,0.8318468218560352,-0.15781362370107557,-51.66363674956166,-42.48948578776,-1.4579254433700486,-5.297916326559185,27.32,4,12,SOLUSDT,1h,Donchian Breakout 20,donchian_breakout_v1
