,ts_signal,side,entry_price,tp_price,sl_price,outcome,pnl,bars_held,exit_price
17,2020-02-22 00:00:00,LONG,265.64,270.76106731729766,262.2259551218016,LOSS,-0.012852149067152577,4,262.2259551218016
18,2020-02-22 04:00:00,SHORT,260.7,256.23589224153113,263.6760718389792,LOSS,-0.011415695584883917,1,263.6760718389792
19,2020-02-23 05:00:00,LONG,268.8,272.02366673056713,266.6508888462886,WIN,0.011992807777407431,3,272.02366673056713
20,2020-02-24 20:00:00,SHORT,261.67,258.15312733955,264.0145817736334,LOSS,-0.008960070981134119,2,264.0145817736334
21,2020-03-02 14:00:00,LONG,228.41,231.64653554380988,226.2523096374601,WIN,0.014169850461056342,2,231.64653554380988
22,2020-03-03 20:00:00,SHORT,222.45,219.49381322426723,224.42079118382182,LOSS,-0.008859479360853365,2,224.42079118382182
23,2020-03-04 04:00:00,LONG,227.55,229.94117047778417,225.9558863481439,LOSS,-0.0070055532931492205,2,225.9558863481439
24,2020-03-04 09:00:00,SHORT,223.6,220.92785870429003,225.3814275304733,LOSS,-0.007967028311597981,6,225.3814275304733
25,2020-03-05 05:00:00,LONG,228.18,230.35450604292274,226.7303293047182,WIN,0.009529783692360107,4,230.35450604292274
26,2020-03-08 06:00:00,SHORT,227.94,224.87573398277652,229.9828440114823,LOSS,-0.008962200629474055,1,229.9828440114823
27,2020-03-19 06:00:00,LONG,117.54,119.73473826049054,116.07684115967298,WIN,0.018672266977118754,2,119.73473826049054
28,2020-03-22 15:00:00,SHORT,128.0,124.16676448998828,130.55549034000782,WIN,0.02994715242196655,3,124.16676448998828
29,2020-03-23 22:00:00,LONG,131.2,135.3665288399215,128.42231410671897,WIN,0.0317570795725725,2,135.3665288399215
30,2020-03-26 15:00:00,SHORT,134.72,132.90817848688118,135.92788100874589,LOSS,-0.008965862594610201,6,135.92788100874589
31,2020-03-26 23:00:00,LONG,138.47,140.3138836377675,137.24074424148833,WIN,0.013316123620766264,1,140.3138836377675
32,2020-03-28 00:00:00,SHORT,128.7,126.42317410134095,130.21788393243935,WIN,0.017690954923535673,2,126.42317410134095
33,2020-03-30 15:00:00,LONG,131.95,134.42226004101587,130.30182663932274,WIN,0.018736339833390576,4,134.42226004101587
34,2020-04-01 17:00:00,SHORT,129.48,128.17330472942928,130.35113018038047,LOSS,-0.006727913039700926,3,130.35113018038047
35,2020-04-01 23:00:00,LONG,135.69,137.3584071551352,134.5777285632432,WIN,0.012295726694194218,1,137.3584071551352
36,2020-04-10 06:00:00,SHORT,161.12,157.89427403682294,163.27048397545138,WIN,0.020020642770463438,2,157.89427403682294
37,2020-04-12 18:00:00,LONG,162.21,164.03477442438455,160.993483717077,WIN,0.011249457027214988,1,164.03477442438455
38,2020-04-13 01:00:00,SHORT,153.01,150.0293467144906,154.9971021903396,LOSS,-0.01298674720828451,9,154.9971021903396
39,2020-04-14 15:00:00,LONG,160.3,162.24322660604673,159.00451559596885,LOSS,-0.008081624479296052,5,159.00451559596885
40,2020-04-15 16:00:00,SHORT,156.92,155.23855185572023,158.04096542951982,WIN,0.01071532082768134,5,155.23855185572023
41,2020-04-16 08:00:00,LONG,171.0,175.2888965541914,168.14073563053907,LOSS,-0.016720844265853397,2,168.14073563053907
42,2020-04-20 19:00:00,SHORT,167.6,163.71260688443022,170.19159541037985,LOSS,-0.015462979775536114,1,170.19159541037985
43,2020-04-22 14:00:00,LONG,181.4,184.05927791439765,179.62714805706824,LOSS,-0.009773163963240164,8,179.62714805706824
44,2020-05-03 17:00:00,SHORT,207.85,205.49970151544102,209.41686565637264,LOSS,-0.007538444341460868,4,209.41686565637264
45,2020-05-06 11:00:00,LONG,209.95,212.52806919640665,208.23128720239555,LOSS,-0.008186295773300498,1,208.23128720239555
46,2020-05-06 23:00:00,SHORT,198.84,195.8654827502485,200.82301149983434,LOSS,-0.009972900321033661,1,200.82301149983434
47,2020-05-07 18:00:00,LONG,212.86,216.06171003040407,210.7255266463973,LOSS,-0.01002759256601858,8,210.7255266463973
48,2020-05-10 00:00:00,SHORT,192.29,186.784984521905,195.96001031872999,WIN,0.02862871432781218,3,186.784984521905
49,2020-05-13 12:00:00,LONG,194.48,196.44796804473123,193.16802130351252,WIN,0.010119128160896938,2,196.44796804473123
50,2020-05-15 23:00:00,SHORT,194.4,191.7346439292764,196.17690404714907,LOSS,-0.009140452917433435,2,196.17690404714907
51,2020-05-16 05:00:00,LONG,202.0,204.55859498008118,200.2942700132792,LOSS,-0.008444207855053452,2,200.2942700132792
52,2020-05-20 22:00:00,SHORT,210.42,208.58741853463636,211.64172097690908,WIN,0.008709160086320842,9,208.58741853463636
53,2020-05-23 01:00:00,LONG,208.94,211.15570193363658,207.4628653775756,LOSS,-0.007069659339640026,7,207.4628653775756
54,2020-05-24 17:00:00,SHORT,203.95,202.0286913475517,205.23087243496553,LOSS,-0.0062803257414343954,2,205.23087243496553
55,2020-05-27 14:00:00,LONG,205.37,206.81228663611552,204.408475575923,WIN,0.007022869144059559,3,206.81228663611552
56,2020-06-03 00:00:00,SHORT,237.91,233.76731353995555,240.67179097336296,LOSS,-0.011608553542780729,11,240.67179097336296
57,2020-06-03 20:00:00,LONG,241.6,244.01118524284144,239.99254317143902,WIN,0.009980071369376824,4,244.01118524284144
58,2020-06-06 00:00:00,SHORT,239.37,237.0285406929785,240.93097287134768,LOSS,-0.006521171706344457,1,240.93097287134768
59,2020-06-07 03:00:00,LONG,242.71,244.2641821528999,241.6738785647334,LOSS,-0.00426896887341522,4,241.6738785647334
60,2020-06-07 08:00:00,SHORT,239.88,238.33529228787552,240.9098051414163,LOSS,-0.004293001256529591,1,240.9098051414163
61,2020-06-08 01:00:00,LONG,244.46,246.6074644527332,243.0283570315112,LOSS,-0.005856348558000499,7,243.0283570315112
62,2020-06-11 16:00:00,SHORT,227.7,224.17385396302728,230.05076402464846,LOSS,-0.010323952677419718,1,230.05076402464846
63,2020-06-16 11:00:00,LONG,234.71,236.86044831148564,233.27636779234294,LOSS,-0.006108100241391801,3,233.27636779234294
64,2020-06-17 20:00:00,SHORT,231.56,229.5027905862712,232.93147294248587,LOSS,-0.005922754113343695,3,232.93147294248587
65,2020-06-18 00:00:00,LONG,233.56,235.45613098879394,232.29591267413738,LOSS,-0.005412259487337809,12,232.29591267413738
66,2020-06-18 15:00:00,SHORT,231.24,229.90474902075792,232.13016731949472,WIN,0.005774307988419349,5,229.90474902075792
67,2020-06-22 02:00:00,LONG,233.01,234.4698874803794,232.03674167974702,WIN,0.006265342604950095,1,234.4698874803794
68,2020-06-24 16:00:00,SHORT,233.98,230.3237411278406,236.4175059147729,WIN,0.015626373502689906,11,230.3237411278406
69,2020-06-29 22:00:00,LONG,228.12,230.26423560363443,226.69050959757703,LOSS,-0.006266396643972343,6,226.69050959757703
70,2020-07-01 02:00:00,SHORT,225.49,224.30020704229764,226.2831953051349,LOSS,-0.003517651803338956,5,226.2831953051349
71,2020-07-01 08:00:00,LONG,228.47,229.71611718079555,227.63925521280296,LOSS,-0.003636121973112592,1,227.63925521280296
72,2020-07-02 22:00:00,SHORT,226.64,224.61712345644187,227.98858436237205,LOSS,-0.005950336932457049,10,227.98858436237205
73,2020-07-04 20:00:00,LONG,228.94,230.0588211988101,228.19411920079324,LOSS,-0.0032579750118230063,5,228.19411920079324
74,2020-07-05 10:00:00,SHORT,225.2,223.99022509578515,226.00651660280988,LOSS,-0.003581334825976434,10,226.00651660280988
75,2020-07-06 06:00:00,LONG,231.71,233.39569056845417,230.58620628769722,WIN,0.00727500137436521,1,233.39569056845417
76,2020-07-10 04:00:00,SHORT,237.0,234.6416362335677,238.57224251095485,LOSS,-0.006633934645379118,5,238.57224251095485
77,2020-07-13 01:00:00,LONG,241.84,243.3406309879645,240.839579341357,WIN,0.006205057012754237,7,243.3406309879645
78,2020-07-14 04:00:00,SHORT,237.96,236.36747885079296,239.02168076613805,LOSS,-0.0044615934028325735,5,239.02168076613805
79,2020-07-18 19:00:00,LONG,235.77,236.784079566904,235.09394695539734,LOSS,-0.0028674260703340873,6,235.09394695539734
80,2020-07-19 15:00:00,SHORT,233.75,232.96088400823623,234.2760773278425,LOSS,-0.002250598193978612,1,234.2760773278425
81,2020-07-19 17:00:00,LONG,234.86,235.65122756432692,234.3325149571154,WIN,0.003368932829459689,4,235.65122756432692
82,2020-08-07 14:00:00,SHORT,384.79,379.97903469142074,387.99731020571954,WIN,0.012502833515889924,2,379.97903469142074
83,2020-08-08 23:00:00,LONG,396.35,401.1207373460527,393.1695084359649,LOSS,-0.008024452034906399,9,393.1695084359649
